"fishery","year","obs_catch_nom"
1,1979,337672
1,1980,303643
1,1981,248782
1,1982,241938
1,1983,269821
1,1984,235622
1,1985,211933
1,1986,231649
1,1987,231051
1,1988,217088
1,1989,224182
1,1990,263528
1,1991,231803
1,1992,162617
1,1993,212350
1,1994,177146
1,1995,115072
1,1996,107581
1,1997,221944
1,1998,183489
1,1999,132741
1,2000,133963
1,2001,128692
1,2002,298132
1,2003,307380
1,2004,321876
1,2005,304891
1,2006,263980
1,2007,240474
1,2008,126352
1,2009,159126
1,2010,177982
1,2011,220787
1,2012,191553
1,2013,134580
1,2014,340015
1,2015,251086
1,2016,266172
2,1979,147576
2,1980,157198
2,1981,153065
2,1982,173472
2,1983,162837
2,1984,185134
2,1985,165845
2,1986,175715
2,1987,177457
2,1988,152369
2,1989,207679
2,1990,154109
2,1991,194018
2,1992,142340
2,1993,161686
2,1994,164581
2,1995,56857
2,1996,8
2,1997,83261
2,1998,109072
2,1999,54097
2,2000,9948
2,2001,12934
2,2002,102731
2,2003,140497
2,2004,167508
2,2005,174806
2,2006,151485
2,2007,83235
2,2008,52147
2,2009,75470
2,2010,90213
2,2011,74660
2,2012,80257
2,2013,69264
2,2014,172001
2,2015,106703
2,2016,147381
3,1979,109261
3,1980,98059
3,1981,78659
3,1982,75767
3,1983,105166
3,1984,83862
3,1985,28814
3,1986,52559
3,1987,64015
3,1988,31103
3,1989,19092
3,1990,27313
3,1991,27853
3,1992,42311
3,1993,24780
3,1994,20155
3,1995,4681
3,1996,0
3,1997,10520
3,1998,4317
3,1999,2346
3,2000,85
3,2001,453
3,2002,611
3,2003,719
3,2004,316
3,2005,24
3,2006,0
3,2007,0
3,2008,9
3,2009,0
3,2010,0
3,2011,0
3,2012,0
3,2013,0
3,2014,0
3,2015,0
3,2016,0
3,2017,0
4,1979,477222
4,1980,486303
4,1981,423266
4,1982,538510
4,1983,395636
4,1984,471294
4,1985,345937
4,1986,350227
4,1987,378931
4,1988,408668
4,1989,203751
4,1990,297858
4,1991,203035
4,1992,340146
4,1993,277033
4,1994,150039
4,1995,81454
4,1996,4
4,1997,52688
4,1998,5140
4,1999,7434
4,2000,64547
4,2001,79668
4,2002,126383
4,2003,146736
4,2004,171166
4,2005,148798
4,2006,108978
4,2007,94291
4,2008,95170
4,2009,58191
4,2010,84123
4,2011,129023
4,2012,69054
4,2013,49526
4,2014,133499
4,2015,68522
4,2016,60831
6,1979,254997
6,1980,273169
6,1981,239662
6,1982,179046
6,1983,104978
6,1984,89992
6,1985,56009
6,1986,43925
6,1987,38064
6,1988,20244
6,1989,28443
6,1990,34301
6,1991,32404
6,1992,37250
6,1993,33292
6,1994,12917
6,1995,139
6,1996,14
6,1997,806
6,1998,303
6,1999,219
6,2000,609
6,2001,311
6,2002,459
6,2003,279
6,2004,389
6,2005,11
6,2006,0
6,2007,0
6,2008,0
6,2009,0
6,2010,5
6,2011,0
6,2012,0
6,2013,0
6,2014,0
6,2015,0
6,2016,0
6,2017,0
7,1979,28388
7,1980,20114
7,1981,18952
7,1982,46992
7,1983,19516
7,1984,32405
7,1985,33329
7,1986,20564
7,1987,13979
7,1988,17448
7,1989,18549
7,1990,16108
7,1991,21039
7,1992,24017
7,1993,16166
7,1994,22552
7,1995,26371
7,1996,8441
7,1997,11447
7,1998,13360
7,1999,12943
7,2000,11091
7,2001,13502
7,2002,13497
7,2003,23534
7,2004,39730
7,2005,20415
7,2006,26710
7,2007,25428
7,2008,13839
7,2009,20744
7,2010,8411
7,2011,16338
7,2012,13311
7,2013,13522
7,2014,21208
7,2015,18766
7,2016,25206
8,1979,55472
8,1980,35882
8,1981,53337
8,1982,77462
8,1983,25318
8,1984,47293
8,1985,63177
8,1986,38061
8,1987,38579
8,1988,27550
8,1989,42005
8,1990,32132
8,1991,49303
8,1992,35004
8,1993,35883
8,1994,18910
8,1995,24300
8,1996,33080
8,1997,22355
8,1998,7833
8,1999,11387
8,2000,22849
8,2001,25410
8,2002,15211
8,2003,15230
8,2004,12305
8,2005,6850
8,2006,12561
8,2007,10079
8,2008,5938
8,2009,3083
8,2010,2182
8,2011,3586
8,2012,780
8,2013,2126
8,2014,2632
8,2015,2434
8,2016,1222
9,1979,76120
9,1980,49142
9,1981,29458
9,1982,47082
9,1983,32575
9,1984,9644
9,1985,27141
9,1986,55391
9,1987,21395
9,1988,21224
9,1989,6275
9,1990,28489
9,1991,15024
9,1992,17030
9,1993,7791
9,1994,9310
9,1995,3992
9,1996,7201
9,1997,3650
9,1998,5467
9,1999,4342
9,2000,3197
9,2001,6465
9,2002,4676
9,2003,2815
9,2004,5404
9,2005,6305
9,2006,5441
9,2007,5542
9,2008,1133
9,2009,3132
9,2010,1549
9,2011,4794
9,2012,3613
9,2013,5301
9,2014,2238
9,2015,5351
9,2016,3192
18,1979,16581
18,1980,20213
18,1981,21300
18,1982,25756
18,1983,22321
18,1984,22050
18,1985,23032
18,1986,19049
18,1987,20294
18,1988,22251
18,1989,26791
18,1990,41360
18,1991,45144
18,1992,35346
18,1993,42677
18,1994,35467
18,1995,35496
18,1996,38975
18,1997,53305
18,1998,46303
18,1999,53158
18,2000,41439
18,2001,44725
18,2002,45504
18,2003,49239
18,2004,55413
18,2005,63330
18,2006,69375
18,2007,62297
18,2008,32605
18,2009,48123
18,2010,44317
18,2011,53961
18,2012,37719
18,2013,43306
18,2014,73951
18,2015,65174
18,2016,59503
19,1979,15302
19,1980,19669
19,1981,11425
19,1982,17274
19,1983,12353
19,1984,10525
19,1985,9867
19,1986,12619
19,1987,13827
19,1988,19307
19,1989,35650
19,1990,31967
19,1991,32496
19,1992,37881
19,1993,38232
19,1994,38947
19,1995,27433
19,1996,10488
19,1997,44312
19,1998,47008
19,1999,44201
19,2000,32621
19,2001,49050
19,2002,56630
19,2003,77798
19,2004,104837
19,2005,97409
19,2006,89120
19,2007,84052
19,2008,62749
19,2009,57192
19,2010,68029
19,2011,82312
19,2012,60802
19,2013,69626
19,2014,74012
19,2015,87488
19,2016,67346
24,1979,350000
24,1980,371000
24,1981,253300
24,1982,163793
24,1983,198433
24,1984,369445
24,1985,234838
24,1986,181896
24,1987,121081
24,1988,119117
24,1989,132846
24,1990,111914
24,1991,115523
24,1992,116579
24,1993,125762
24,1994,72285
24,1995,65035
24,1996,100032
24,1997,59900
24,1998,24120
24,1999,53400
24,2000,40613
24,2001,58851
24,2002,80216
24,2003,55257
24,2004,67311
24,2005,54784
24,2006,38618
24,2007,41111
24,2008,31099
24,2009,43471
24,2010,30554
24,2011,42726
24,2012,44611
24,2013,57399
24,2014,66541
24,2015,100752
24,2016,66463
5,1979,140844
5,1980,136391
5,1981,125161
5,1982,173744
5,1983,82075
5,1984,31125
5,1985,68088
5,1986,82000
5,1987,126000
5,1988,157000
5,1989,140600
5,1990,113628
5,1991,88862
5,1992,100624
5,1993,65937
5,1994,7919
5,1995,15906
5,1996,22210
5,1997,21358
5,1998,21329
5,1999,45581
5,2000,20506
5,2001,56137
5,2002,108245
5,2003,102194
5,2004,108975
5,2005,92470
5,2006,58428
5,2007,43071
5,2008,36916
5,2009,28690
5,2010,90576
5,2011,65523
5,2012,100818
5,2013,95210
5,2014,121490
5,2015,130148
5,2016,42234
21,1979,84977
21,1980,59099
21,1981,96151
21,1982,114952
21,1983,51789
21,1984,6980
21,1985,30189
21,1986,23000
21,1987,44000
21,1988,19000
21,1989,20900
21,1990,32900
21,1991,13562
21,1992,18935
21,1993,13854
21,1994,0
21,1995,618
21,1996,255
21,1997,4152
21,1998,2292
21,1999,10821
21,2000,9242
21,2001,25592
21,2002,60575
21,2003,36513
21,2004,27090
21,2005,40004
21,2006,11176
21,2007,9538
21,2008,15452
21,2009,13331
21,2010,38686
21,2011,30826
21,2012,35428
21,2013,30837
21,2014,42327
21,2015,42179
21,2016,17948
20,1979,4100
20,1980,6100
20,1981,8800
20,1982,10000
20,1983,28000
20,1984,21200
20,1985,23100
20,1986,17100
20,1987,34800
20,1988,12800
20,1989,38800
20,1990,35000
20,1991,39500
20,1992,26200
20,1993,28800
20,1994,25400
20,1995,13956
20,1996,10229
20,1997,6400
20,1998,4177
20,1999,31106
20,2000,38038
20,2001,40179
20,2002,31843
20,2003,23995
20,2004,42350
20,2005,50232
20,2006,37905
20,2007,46229
20,2008,50556
20,2009,66426
20,2010,54924
20,2011,75209
20,2012,65414
20,2013,64072
20,2014,54875
20,2015,48215
20,2016,38819
22,1979,84461
22,1980,68646
22,1981,61079
22,1982,36795
22,1983,73226
22,1984,73762
22,1985,53719
22,1986,82481
22,1987,62924
22,1988,50831
22,1989,63713
22,1990,57877
22,1991,44400
22,1992,44726
22,1993,39132
22,1994,7456
22,1995,14212
22,1996,17499
22,1997,21393
22,1998,5228
22,1999,4125
22,2000,4780
22,2001,10944
22,2002,8412
22,2003,8322
22,2004,7118
22,2005,4828
22,2006,8015
22,2007,11139
22,2008,10673
22,2009,14366
22,2010,12685
22,2011,15957
22,2012,19618
22,2013,25210
22,2014,20275
22,2015,20403
22,2016,21693
23,1979,184197
23,1980,168695
23,1981,103354
23,1982,83362
23,1983,121241
23,1984,100055
23,1985,74323
23,1986,70945
23,1987,46450
23,1988,64469
23,1989,71983
23,1990,67627
23,1991,46166
23,1992,53007
23,1993,41034
23,1994,40830
23,1995,55587
23,1996,54570
23,1997,39032
23,1998,20886
23,1999,24614
23,2000,18899
23,2001,33478
23,2002,22331
23,2003,22578
23,2004,19609
23,2005,18064
23,2006,20567
23,2007,37587
23,2008,21749
23,2009,16939
23,2010,15621
23,2011,11550
23,2012,22036
23,2013,16635
23,2014,12083
23,2015,8958
23,2016,12559
12,1979,64689
12,1980,75658
12,1981,69236
12,1982,61310
12,1983,44638
12,1984,45552
12,1985,46363
12,1986,38000
12,1987,40000
12,1988,42000
12,1989,26000
12,1990,13902
12,1991,15143
12,1992,14938
12,1993,15408
12,1994,19772
12,1995,10102
12,1996,4538
12,1997,30085
12,1998,4064
12,1999,592
12,2000,1641
12,2001,1901
12,2002,3305
12,2003,5735
12,2004,5726
12,2005,4533
12,2006,6235
12,2007,2691
12,2008,4627
12,2009,1113
12,2010,8349
12,2011,5989
12,2012,1964
12,2013,4419
12,2014,8140
12,2015,5604
12,2016,270
11,1979,34912
11,1980,7883
11,1981,29245
11,1982,16961
11,1983,3689
11,1984,20802
11,1985,44617
11,1986,59851
11,1987,11255
11,1988,11781
11,1989,32008
11,1990,12798
11,1991,11780
11,1992,15605
11,1993,2813
11,1994,13840
11,1995,1530
11,1996,655
11,1997,657
11,1998,495
11,1999,771
11,2000,199
11,2001,439
11,2002,345
11,2003,292
11,2004,187
11,2005,164
11,2006,155
11,2007,138
11,2008,172
11,2009,1
11,2010,206
11,2011,1
11,2012,284
11,2013,1
11,2014,137
11,2015,17
11,2016,5
11,2017,89
16,1979,44323
16,1980,48881
16,1981,49393
16,1982,43134
16,1983,59876
16,1984,38065
16,1985,50948
16,1986,25422
16,1987,21134
16,1988,10785
16,1989,36639
16,1990,23733
16,1991,19714
16,1992,13896
16,1993,22858
16,1994,11683
16,1995,1644
16,1996,472
16,1997,1018
16,1998,328
16,1999,472
16,2000,280
16,2001,332
16,2002,569
16,2003,306
16,2004,525
16,2005,215
16,2006,244
16,2007,2
16,2008,48
16,2009,597
16,2010,98
16,2011,46
16,2012,37
16,2013,35
16,2014,311
16,2015,54
16,2016,22
16,2017,92
10,1979,35623
10,1980,34732
10,1981,36411
10,1982,41172
10,1983,37535
10,1984,43792
10,1985,11089
10,1986,3276
10,1987,478
10,1988,15438
10,1989,40321
10,1990,29578
10,1991,60797
10,1992,9486
10,1993,28694
10,1994,2369
10,1995,458
10,1996,58
10,1997,208
10,1998,345
10,1999,112
10,2000,126
10,2001,11
10,2002,260
10,2003,9251
10,2004,12348
10,2005,23599
10,2006,20308
10,2007,26881
10,2008,8257
10,2009,9765
10,2010,1747
10,2011,21843
10,2012,10214
10,2013,8854
10,2014,19090
10,2015,10131
10,2016,5125
